GENRE	VOTES
Action, Adventure, Family	56698
Short, Action, Comedy	57319
Comedy, Horror, Thriller	60242
Drama, Music	60622
Action, Drama, War	64616
Comedy, Sport	66862
Drama, Romance, Sci-Fi	67479
Comedy, Drama, Sport	67850
Comedy, Fantasy, Musical	67897
Documentary, Music	68530
Documentary, Crime, History	72928
Comedy, Fantasy	73080
Adventure, Horror, Thriller	74688
Documentary, Biography	75684
Crime, Thriller	76921
Drama, History, War	76966
Animation, Biography, Drama	77732
Documentary, Crime, Mystery	78072
Animation, Comedy, Romance	79714
Drama, Thriller, War	80419
Drama, Family	80586
Drama, Fantasy	81093
Thriller	89052
Action, Romance, Thriller	91625
Documentary, Drama	91866
Drama, Music, Musical	92489
Adventure, Drama, History	94885
Action, Biography, Crime	95276
Comedy, Drama, Sci-Fi	96523
Drama, Horror, Music	96582
Crime, Drama, History	99556
Comedy, Family	99693
Action, Crime, Sci-Fi	99799
Action, Comedy, Horror	100354
Documentary, History	102651
Action, Adventure, Horror	103032
Adventure, Drama, Family	103784
Adventure, Drama, Fantasy	104826
Drama, Western	108875
Adventure, Comedy, Reality-TV	111345
Fantasy, Horror, Mystery	111444
Crime, Drama, Film-Noir	113199
Comedy, Family, Romance	113828
Documentary, Sport	115570
Crime, Drama, Music	116488
Drama, History, Romance	120295
Action, Drama, Mystery	121080
Animation, Short, Comedy	123448
Documentary, Biography, Crime	126330
Drama, War	128171
Reality-TV	128385
Action, Crime, Fantasy	132116
Action, Crime, Horror	132378
Animation, Action, Fantasy	135497
Comedy, Crime, Thriller	136173
Action, Adventure, Mystery	140033
Horror, Mystery	142650
Documentary, Biography, History	144339
Action, Comedy, Fantasy	147924
Adventure, Comedy, Family	151365
Documentary, Comedy	152377
Action, Comedy	154283
Comedy, Drama, Musical	156712
Drama, Fantasy, Romance	159248
Animation, Drama, Family	165913
Action, Fantasy, Thriller	175334
Adventure, Drama, Mystery	187336
Crime, Drama, Romance	192683
Horror, Sci-Fi, Thriller	196568
Comedy, Drama, Family	196702
Biography, Drama, Romance	198473
Animation, Adventure, Fantasy	199496
Mystery, Thriller	201680
Drama, Fantasy, Sci-Fi	206175
Adventure, Fantasy, Romance	212616
Comedy, Music	213304
Drama, Horror, Sci-Fi	218410
Comedy, Sci-Fi	242121
Crime, Horror, Thriller	245008
Drama, Horror	250489
Musical, Romance	250587
Horror, Mystery, Thriller	259867
Action, Mystery, Thriller	260335
Action, Comedy, Drama	260656
Animation, Action, Comedy	262762
Biography, Drama, Family	263445
Comedy, Horror	266286
Action, Comedy, Romance	270651
Animation, Crime, Drama	271090
Biography, Comedy, Drama	277522
Action, Drama, Fantasy	284552
Adventure, Drama	292459
Adventure, Drama, Horror	298220
Adventure, Family, Fantasy	301990
Animation, Comedy, Drama	306503
Adventure, Comedy, Crime	306614
Action, Horror, Sci-Fi	309612
Animation, Action, Drama	312212
Animation, Drama, Fantasy	314605
Horror, Sci-Fi	314748
Animation, Family, Fantasy	327854
Drama, Fantasy, Mystery	350292
Comedy, Crime	357746
Comedy, Drama, Music	358642
Action, Crime, Mystery	365681
Crime, Drama, Horror	383242
Drama, Music, Romance	389809
Action, Drama, History	390072
Action, Comedy, War	391033
Drama, History, Thriller	394638
Documentary, Crime	405800
Comedy, Drama, Fantasy	410337
Crime, Drama, Fantasy	419853
Action, Drama, Sci-Fi	434114
Biography, Drama, Sport	443006
Drama, Mystery, Romance	444909
Action, Biography, Drama	460897
Adventure, Biography, Drama	467716
Comedy, Fantasy, Romance	479762
Family, Fantasy, Musical	486908
Action, Drama, Thriller	495088
Action, Adventure, Biography	496505
Horror, Thriller	503688
Adventure, Comedy, Drama	517617
Adventure, Comedy, Fantasy	524176
Adventure, Thriller	558731
Animation, Adventure, Drama	585239
Biography, Drama, History	586801
Crime, Mystery, Thriller	634755
Biography, Drama	656898
Action, Sci-Fi, Thriller	657323
Animation, Comedy	669258
Drama, Sci-Fi	686363
Horror	723821
Drama, Sci-Fi, Thriller	769496
Adventure, Fantasy	774632
Adventure, Sci-Fi	793679
Documentary	875917
Drama, Thriller	895992
Action, Adventure, Thriller	941716
Drama, Horror, Mystery	967045
Action, Drama	1089147
Drama, Mystery, Sci-Fi	1146167
Animation, Adventure, Family	1147897
Action, Thriller	1262947
Drama, Horror, Thriller	1431956
Action, Adventure, Crime	1479310
Comedy, Crime, Drama	1522461
Action, Comedy, Crime	1573073
Biography, Crime, Drama	1731030
Drama, Mystery, Thriller	1754347
Drama, Romance	1783394
Action, Adventure, Fantasy	1817581
Action, Adventure, Comedy	1849739
Action, Crime, Thriller	1878250
Comedy, Drama, Romance	2055595
Drama, Fantasy, Horror	2300144
Crime, Drama	2443104
Animation, Action, Adventure	2460228
Drama	2915961
Comedy, Drama	3596523
Comedy, Romance	3660134
Animation, Adventure, Comedy	3875022
Comedy	4268228
Crime, Drama, Thriller	4897359
Action, Adventure, Sci-Fi	5064229
Crime, Drama, Mystery	5361808
Action, Crime, Drama	6716227
Action, Adventure, Drama	8260326
